	Lumberjack Read Data List          Thu   20-MAY-21 22:46:47

	Engineering units
	X = TIME  Lumberjack format

	T1 = 20-MAY-2021 13:00:18.000	T2 = 20-MAY-2021 13:15:18.000

	 Trace 1				 Trace 2
       13500 points			        13500 points
    N:ISRCNT08 cnt    NML3  		     N;ISRCNT10 cnt    NML3  

       Time    	    Y1  	        Time    	    Y2
Thu May 20 13:00:22.872	225789828   	Thu May 20 13:00:22.872	2033721867  
Thu May 20 13:00:22.939	225789828   	Thu May 20 13:00:22.939	2033721867  
Thu May 20 13:00:23.006	225789828   	Thu May 20 13:00:23.006	2033721867  
Thu May 20 13:00:23.072	225789828   	Thu May 20 13:00:23.072	2033721867  
Thu May 20 13:00:23.139	225789828   	Thu May 20 13:00:23.139	2033721867  
Thu May 20 13:00:23.206	225789828   	Thu May 20 13:00:23.206	2033721867  
Thu May 20 13:00:23.272	225789828   	Thu May 20 13:00:23.272	2033721867  
Thu May 20 13:00:23.339	225789828   	Thu May 20 13:00:23.339	2033721867  
Thu May 20 13:00:23.406	225789828   	Thu May 20 13:00:23.406	2033721867  
Thu May 20 13:00:23.472	225789828   	Thu May 20 13:00:23.472	2033721867  
Thu May 20 13:00:23.539	225789828   	Thu May 20 13:00:23.539	2033721867  
Thu May 20 13:00:23.606	225789828   	Thu May 20 13:00:23.606	2033721867  
Thu May 20 13:00:23.672	225789828   	Thu May 20 13:00:23.672	2033721867  
Thu May 20 13:00:23.739	225789828   	Thu May 20 13:00:23.739	2033721867  
Thu May 20 13:00:23.806	225789828   	Thu May 20 13:00:23.806	2033721867  
Thu May 20 13:00:23.872	225789828   	Thu May 20 13:00:23.872	2033721867  
Thu May 20 13:00:23.939	225789828   	Thu May 20 13:00:23.939	2033721867  
Thu May 20 13:00:24.006	225789828   	Thu May 20 13:00:24.006	2033721867  
Thu May 20 13:00:24.072	225789828   	Thu May 20 13:00:24.072	2033721867  
Thu May 20 13:00:24.139	225789828   	Thu May 20 13:00:24.139	2033721867  
Thu May 20 13:00:24.206	225789828   	Thu May 20 13:00:24.206	2033721867  
Thu May 20 13:00:24.272	225789828   	Thu May 20 13:00:24.272	2033721867  
Thu May 20 13:00:24.339	225789828   	Thu May 20 13:00:24.339	2033721867  
Thu May 20 13:00:24.406	225789828   	Thu May 20 13:00:24.406	2033721867  
Thu May 20 13:00:24.472	225789828   	Thu May 20 13:00:24.472	2033721867  
Thu May 20 13:00:24.539	225789828   	Thu May 20 13:00:24.539	2033721867  
Thu May 20 13:00:24.606	225789828   	Thu May 20 13:00:24.606	2033721867  
Thu May 20 13:00:24.672	225789828   	Thu May 20 13:00:24.672	2033721867  
Thu May 20 13:00:24.739	225789828   	Thu May 20 13:00:24.739	2033721867  
Thu May 20 13:00:24.806	225789828   	Thu May 20 13:00:24.806	2033721867  
Thu May 20 13:00:24.872	225789828   	Thu May 20 13:00:24.872	2033721867  
Thu May 20 13:00:24.939	225789828   	Thu May 20 13:00:24.939	2033721867  
Thu May 20 13:00:25.006	225789828   	Thu May 20 13:00:25.006	2033721867  
Thu May 20 13:00:25.072	225789828   	Thu May 20 13:00:25.072	2033721867  
Thu May 20 13:00:25.139	225789828   	Thu May 20 13:00:25.139	2033721867  
Thu May 20 13:00:25.206	225789828   	Thu May 20 13:00:25.206	2033721867  
Thu May 20 13:00:25.272	225789828   	Thu May 20 13:00:25.272	2033721867  
Thu May 20 13:00:25.339	225789828   	Thu May 20 13:00:25.339	2033721867  
Thu May 20 13:00:25.406	225789828   	Thu May 20 13:00:25.406	2033721867  
Thu May 20 13:00:25.472	225789828   	Thu May 20 13:00:25.472	2033721867  
Thu May 20 13:00:25.539	225789828   	Thu May 20 13:00:25.539	2033721867  
Thu May 20 13:00:25.606	225789828   	Thu May 20 13:00:25.606	2033721867  
Thu May 20 13:00:25.672	225789828   	Thu May 20 13:00:25.672	2033721867  
Thu May 20 13:00:25.739	225789828   	Thu May 20 13:00:25.739	2033721867  
Thu May 20 13:00:25.806	225789828   	Thu May 20 13:00:25.806	2033721867  
Thu May 20 13:00:25.872	225789828   	Thu May 20 13:00:25.872	2033721867  
Thu May 20 13:00:25.939	225789828   	Thu May 20 13:00:25.939	2033721867  
Thu May 20 13:00:26.006	225789828   	Thu May 20 13:00:26.006	2033721867  
Thu May 20 13:00:26.072	225789828   	Thu May 20 13:00:26.072	2033721867  
Thu May 20 13:00:26.139	225789828   	Thu May 20 13:00:26.139	2033721867  
Thu May 20 13:00:26.206	225789828   	Thu May 20 13:00:26.206	2033721867  
Thu May 20 13:00:26.272	225789828   	Thu May 20 13:00:26.272	2033721867  
Thu May 20 13:00:26.339	225789828   	Thu May 20 13:00:26.339	2033721867  
Thu May 20 13:00:26.406	225789828   	Thu May 20 13:00:26.406	2033721867  
Thu May 20 13:00:26.472	225789828   	Thu May 20 13:00:26.472	2033721867  
Thu May 20 13:00:26.539	225789828   	Thu May 20 13:00:26.539	2033721867  
Thu May 20 13:00:26.606	225789828   	Thu May 20 13:00:26.606	2033721867  
Thu May 20 13:00:26.672	225789828   	Thu May 20 13:00:26.672	2033721867  
Thu May 20 13:00:26.739	225789828   	Thu May 20 13:00:26.739	2033721867  
Thu May 20 13:00:26.806	225789828   	Thu May 20 13:00:26.806	2033721867  
Thu May 20 13:00:26.872	225789828   	Thu May 20 13:00:26.872	2033721867  
Thu May 20 13:00:26.939	225789828   	Thu May 20 13:00:26.939	2033721867  
Thu May 20 13:00:27.006	225789828   	Thu May 20 13:00:27.006	2033721867  
Thu May 20 13:00:27.073	225789828   	Thu May 20 13:00:27.073	2033721867  
Thu May 20 13:00:27.139	225789828   	Thu May 20 13:00:27.139	2033721867  
Thu May 20 13:00:27.206	225789828   	Thu May 20 13:00:27.206	2033721867  
Thu May 20 13:00:27.272	225789828   	Thu May 20 13:00:27.272	2033721867  
Thu May 20 13:00:27.339	225789828   	Thu May 20 13:00:27.339	2033721867  
Thu May 20 13:00:27.406	225789828   	Thu May 20 13:00:27.406	2033721867  
Thu May 20 13:00:27.473	225789828   	Thu May 20 13:00:27.473	2033721867  
Thu May 20 13:00:27.539	225789828   	Thu May 20 13:00:27.539	2033721867  
Thu May 20 13:00:27.606	225789828   	Thu May 20 13:00:27.606	2033721867  
Thu May 20 13:00:27.673	225789828   	Thu May 20 13:00:27.673	2033721867  
Thu May 20 13:00:27.739	225789828   	Thu May 20 13:00:27.739	2033721867  
Thu May 20 13:00:27.806	225789828   	Thu May 20 13:00:27.806	2033721867  
Thu May 20 13:00:27.872	225789828   	Thu May 20 13:00:27.872	2033721867  
Thu May 20 13:00:27.939	225789828   	Thu May 20 13:00:27.939	2033721867  
Thu May 20 13:00:28.006	225789828   	Thu May 20 13:00:28.006	2033721867  
Thu May 20 13:00:28.073	225789828   	Thu May 20 13:00:28.073	2033721867  
Thu May 20 13:00:28.139	225789828   	Thu May 20 13:00:28.139	2033721867  
Thu May 20 13:00:28.206	225789828   	Thu May 20 13:00:28.206	2033721867  
Thu May 20 13:00:28.273	225789828   	Thu May 20 13:00:28.273	2033721867  
Thu May 20 13:00:28.339	225789828   	Thu May 20 13:00:28.339	2033721867  
Thu May 20 13:00:28.406	225789828   	Thu May 20 13:00:28.406	2033721867  
Thu May 20 13:00:28.473	225789828   	Thu May 20 13:00:28.473	2033721867  
Thu May 20 13:00:28.539	225789828   	Thu May 20 13:00:28.539	2033721867  
Thu May 20 13:00:28.606	225789828   	Thu May 20 13:00:28.606	2033721867  
Thu May 20 13:00:28.673	225789828   	Thu May 20 13:00:28.673	2033721867  
Thu May 20 13:00:28.739	225789828   	Thu May 20 13:00:28.739	2033721867  
Thu May 20 13:00:28.806	225789828   	Thu May 20 13:00:28.806	2033721867  
Thu May 20 13:00:28.873	225789828   	Thu May 20 13:00:28.873	2033721867  
Thu May 20 13:00:28.939	225789828   	Thu May 20 13:00:28.939	2033721867  
Thu May 20 13:00:29.006	225789828   	Thu May 20 13:00:29.006	2033721867  
Thu May 20 13:00:29.072	225789828   	Thu May 20 13:00:29.072	2033721867  
Thu May 20 13:00:29.139	225789828   	Thu May 20 13:00:29.139	2033721867  
Thu May 20 13:00:29.206	225789828   	Thu May 20 13:00:29.206	2033721867  
Thu May 20 13:00:29.273	225789828   	Thu May 20 13:00:29.273	2033721867  
Thu May 20 13:00:29.339	225789828   	Thu May 20 13:00:29.339	2033721867  
Thu May 20 13:00:29.406	225789828   	Thu May 20 13:00:29.406	2033721867  
Thu May 20 13:00:29.473	225789828   	Thu May 20 13:00:29.473	2033721867  
Thu May 20 13:00:29.539	225789828   	Thu May 20 13:00:29.539	2033721867  
Thu May 20 13:00:29.606	225789828   	Thu May 20 13:00:29.606	2033721867  
Thu May 20 13:00:29.673	225789828   	Thu May 20 13:00:29.673	2033721867  
Thu May 20 13:00:29.739	225789828   	Thu May 20 13:00:29.739	2033721867  
Thu May 20 13:00:29.806	225789828   	Thu May 20 13:00:29.806	2033721867  
Thu May 20 13:00:29.872	225789828   	Thu May 20 13:00:29.872	2033721867  
Thu May 20 13:00:29.939	225789828   	Thu May 20 13:00:29.939	2033721867  
Thu May 20 13:00:30.006	225789828   	Thu May 20 13:00:30.006	2033721867  
Thu May 20 13:00:30.072	225789828   	Thu May 20 13:00:30.072	2033721867  
Thu May 20 13:00:30.139	225789828   	Thu May 20 13:00:30.139	2033721867  
Thu May 20 13:00:30.206	225789828   	Thu May 20 13:00:30.206	2033721867  
Thu May 20 13:00:30.273	225789828   	Thu May 20 13:00:30.273	2033721867  
Thu May 20 13:00:30.339	225789828   	Thu May 20 13:00:30.339	2033721867  
Thu May 20 13:00:30.406	225789828   	Thu May 20 13:00:30.406	2033721867  
Thu May 20 13:00:30.473	225789828   	Thu May 20 13:00:30.473	2033721867  
Thu May 20 13:00:30.539	225789828   	Thu May 20 13:00:30.539	2033721867  
Thu May 20 13:00:30.606	225789828   	Thu May 20 13:00:30.606	2033721867  
Thu May 20 13:00:30.673	225789828   	Thu May 20 13:00:30.673	2033721867  
Thu May 20 13:00:30.739	225789828   	Thu May 20 13:00:30.739	2033721867  
Thu May 20 13:00:30.806	225789828   	Thu May 20 13:00:30.806	2033721867  
Thu May 20 13:00:30.873	225789828   	Thu May 20 13:00:30.873	2033721867  
Thu May 20 13:00:30.939	225789828   	Thu May 20 13:00:30.939	2033721867  
Thu May 20 13:00:31.006	225789828   	Thu May 20 13:00:31.006	2033721867  
Thu May 20 13:00:31.073	225789828   	Thu May 20 13:00:31.073	2033721867  
Thu May 20 13:00:31.139	225789828   	Thu May 20 13:00:31.139	2033721867  
Thu May 20 13:00:31.206	225789828   	Thu May 20 13:00:31.206	2033721867  
Thu May 20 13:00:31.273	225789828   	Thu May 20 13:00:31.273	2033721867  
Thu May 20 13:00:31.339	225789828   	Thu May 20 13:00:31.339	2033721867  
Thu May 20 13:00:31.406	225789828   	Thu May 20 13:00:31.406	2033721867  
Thu May 20 13:00:31.473	225789828   	Thu May 20 13:00:31.473	2033721867  
Thu May 20 13:00:31.540	225789828   	Thu May 20 13:00:31.540	2033721867  
Thu May 20 13:00:31.606	225789828   	Thu May 20 13:00:31.606	2033721867  
Thu May 20 13:00:31.673	225789828   	Thu May 20 13:00:31.673	2033721867  
Thu May 20 13:00:31.739	225789828   	Thu May 20 13:00:31.739	2033721867  
Thu May 20 13:00:31.806	225789828   	Thu May 20 13:00:31.806	2033721867  
Thu May 20 13:00:31.873	225789828   	Thu May 20 13:00:31.873	2033721867  
Thu May 20 13:00:31.939	225789828   	Thu May 20 13:00:31.939	2033721867  
Thu May 20 13:00:32.006	225789828   	Thu May 20 13:00:32.006	2033721867  
Thu May 20 13:00:32.073	225789828   	Thu May 20 13:00:32.073	2033721867  
Thu May 20 13:00:32.139	225789828   	Thu May 20 13:00:32.139	2033721867  
Thu May 20 13:00:32.206	225789828   	Thu May 20 13:00:32.206	2033721867  
Thu May 20 13:00:32.273	225789828   	Thu May 20 13:00:32.273	2033721867  
Thu May 20 13:00:32.339	225789828   	Thu May 20 13:00:32.339	2033721867  
Thu May 20 13:00:32.406	225789828   	Thu May 20 13:00:32.406	2033721867  
Thu May 20 13:00:32.473	225789828   	Thu May 20 13:00:32.473	2033721867  
Thu May 20 13:00:32.539	225789828   	Thu May 20 13:00:32.539	2033721867  
Thu May 20 13:00:32.606	225789828   	Thu May 20 13:00:32.606	2033721867  
Thu May 20 13:00:32.673	225789828   	Thu May 20 13:00:32.673	2033721867  
Thu May 20 13:00:32.739	225789828   	Thu May 20 13:00:32.739	2033721867  
Thu May 20 13:00:32.806	225789828   	Thu May 20 13:00:32.806	2033721867  
Thu May 20 13:00:32.873	225789828   	Thu May 20 13:00:32.873	2033721867  
Thu May 20 13:00:32.939	225789828   	Thu May 20 13:00:32.939	2033721867  
Thu May 20 13:00:33.006	225789828   	Thu May 20 13:00:33.006	2033721867  
Thu May 20 13:00:33.073	225789828   	Thu May 20 13:00:33.073	2033721867  
Thu May 20 13:00:33.139	225789828   	Thu May 20 13:00:33.139	2033721867  
Thu May 20 13:00:33.206	225789828   	Thu May 20 13:00:33.206	2033721867  
Thu May 20 13:00:33.273	225789828   	Thu May 20 13:00:33.273	2033721867  
Thu May 20 13:00:33.339	225789828   	Thu May 20 13:00:33.339	2033721867  
Thu May 20 13:00:33.406	225789828   	Thu May 20 13:00:33.406	2033721867  
Thu May 20 13:00:33.473	225789828   	Thu May 20 13:00:33.473	2033721867  
Thu May 20 13:00:33.540	225789828   	Thu May 20 13:00:33.540	2033721867  
Thu May 20 13:00:33.606	225789828   	Thu May 20 13:00:33.606	2033721867  
Thu May 20 13:00:33.673	225789828   	Thu May 20 13:00:33.673	2033721867  
Thu May 20 13:00:33.739	225789828   	Thu May 20 13:00:33.739	2033721867  
Thu May 20 13:00:33.806	225789828   	Thu May 20 13:00:33.806	2033721867  
Thu May 20 13:00:33.873	225789828   	Thu May 20 13:00:33.873	2033721867  
Thu May 20 13:00:33.939	225789828   	Thu May 20 13:00:33.939	2033721867  
Thu May 20 13:00:34.006	225789828   	Thu May 20 13:00:34.006	2033721867  
Thu May 20 13:00:34.073	225789828   	Thu May 20 13:00:34.073	2033721867  
Thu May 20 13:00:34.139	225789828   	Thu May 20 13:00:34.139	2033721867  
Thu May 20 13:00:34.206	225789828   	Thu May 20 13:00:34.206	2033721867  
Thu May 20 13:00:34.273	225789828   	Thu May 20 13:00:34.273	2033721867  
Thu May 20 13:00:34.339	225789828   	Thu May 20 13:00:34.339	2033721867  
Thu May 20 13:00:34.406	225789828   	Thu May 20 13:00:34.406	2033721867  
Thu May 20 13:00:34.473	225789828   	Thu May 20 13:00:34.473	2033721867  
Thu May 20 13:00:34.539	225789828   	Thu May 20 13:00:34.539	2033721867  
Thu May 20 13:00:34.606	225789828   	Thu May 20 13:00:34.606	2033721867  
Thu May 20 13:00:34.673	225789828   	Thu May 20 13:00:34.673	2033721867  
Thu May 20 13:00:34.739	225789828   	Thu May 20 13:00:34.739	2033721867  
Thu May 20 13:00:34.806	225789828   	Thu May 20 13:00:34.806	2033721867  
Thu May 20 13:00:34.873	225789828   	Thu May 20 13:00:34.873	2033721867  
Thu May 20 13:00:34.939	225789828   	Thu May 20 13:00:34.939	2033721867  
Thu May 20 13:00:35.006	225789828   	Thu May 20 13:00:35.006	2033721867  
Thu May 20 13:00:35.073	225789828   	Thu May 20 13:00:35.073	2033721867  
Thu May 20 13:00:35.139	225789828   	Thu May 20 13:00:35.139	2033721867  
Thu May 20 13:00:35.206	225789828   	Thu May 20 13:00:35.206	2033721867  
Thu May 20 13:00:35.273	225789828   	Thu May 20 13:00:35.273	2033721867  
Thu May 20 13:00:35.340	225789828   	Thu May 20 13:00:35.340	2033721867  
Thu May 20 13:00:35.406	225789828   	Thu May 20 13:00:35.406	2033721867  
Thu May 20 13:00:35.473	225789828   	Thu May 20 13:00:35.473	2033721867  
Thu May 20 13:00:35.540	225789828   	Thu May 20 13:00:35.540	2033721867  
Thu May 20 13:00:35.606	225789828   	Thu May 20 13:00:35.606	2033721867  
Thu May 20 13:00:35.673	225789828   	Thu May 20 13:00:35.673	2033721867  
Thu May 20 13:00:35.739	225789828   	Thu May 20 13:00:35.739	2033721867  
Thu May 20 13:00:35.806	225789828   	Thu May 20 13:00:35.806	2033721867  
Thu May 20 13:00:35.873	225789828   	Thu May 20 13:00:35.873	2033721867  
Thu May 20 13:00:35.940	225789828   	Thu May 20 13:00:35.940	2033721867  
Thu May 20 13:00:36.006	225789828   	Thu May 20 13:00:36.006	2033721867  
Thu May 20 13:00:36.073	225789828   	Thu May 20 13:00:36.073	2033721867  
Thu May 20 13:00:36.139	225789828   	Thu May 20 13:00:36.139	2033721867  
Thu May 20 13:00:36.206	225789828   	Thu May 20 13:00:36.206	2033721867  
Thu May 20 13:00:36.273	225789828   	Thu May 20 13:00:36.273	2033721867  
Thu May 20 13:00:36.340	225789828   	Thu May 20 13:00:36.340	2033721867  
Thu May 20 13:00:36.407	225789828   	Thu May 20 13:00:36.407	2033721867  
Thu May 20 13:00:36.473	225789828   	Thu May 20 13:00:36.473	2033721867  
Thu May 20 13:00:36.539	225789828   	Thu May 20 13:00:36.539	2033721867  
Thu May 20 13:00:36.606	225789828   	Thu May 20 13:00:36.606	2033721867  
Thu May 20 13:00:36.673	225789828   	Thu May 20 13:00:36.673	2033721867  
Thu May 20 13:00:36.739	225789828   	Thu May 20 13:00:36.739	2033721867  
Thu May 20 13:00:36.806	225789828   	Thu May 20 13:00:36.806	2033721867  
Thu May 20 13:00:36.873	225789828   	Thu May 20 13:00:36.873	2033721867  
Thu May 20 13:00:36.940	225789828   	Thu May 20 13:00:36.940	2033721867  
Thu May 20 13:00:37.006	225789828   	Thu May 20 13:00:37.006	2033721867  
Thu May 20 13:00:37.073	225789828   	Thu May 20 13:00:37.073	2033721867  
Thu May 20 13:00:37.140	225789828   	Thu May 20 13:00:37.140	2033721867  
Thu May 20 13:00:37.206	225789828   	Thu May 20 13:00:37.206	2033721867  
Thu May 20 13:00:37.273	225789828   	Thu May 20 13:00:37.273	2033721867  
Thu May 20 13:00:37.339	225789828   	Thu May 20 13:00:37.339	2033721867  
Thu May 20 13:00:37.406	225789828   	Thu May 20 13:00:37.406	2033721867  
Thu May 20 13:00:37.473	225789828   	Thu May 20 13:00:37.473	2033721867  
Thu May 20 13:00:37.540	225789828   	Thu May 20 13:00:37.540	2033721867  
Thu May 20 13:00:37.607	225789828   	Thu May 20 13:00:37.607	2033721867  
Thu May 20 13:00:37.673	225789828   	Thu May 20 13:00:37.673	2033721867  
Thu May 20 13:00:37.740	225789828   	Thu May 20 13:00:37.740	2033721867  
Thu May 20 13:00:37.806	225789828   	Thu May 20 13:00:37.806	2033721867  
Thu May 20 13:00:37.873	225789828   	Thu May 20 13:00:37.873	2033721867  
Thu May 20 13:00:37.940	225789828   	Thu May 20 13:00:37.940	2033721867  
Thu May 20 13:00:38.006	225789828   	Thu May 20 13:00:38.006	2033721867  
Thu May 20 13:00:38.073	225789828   	Thu May 20 13:00:38.073	2033721867  
Thu May 20 13:00:38.140	225789828   	Thu May 20 13:00:38.140	2033721867  
Thu May 20 13:00:38.207	225789828   	Thu May 20 13:00:38.207	2033721867  
Thu May 20 13:00:38.273	225789828   	Thu May 20 13:00:38.273	2033721867  
Thu May 20 13:00:38.340	225789828   	Thu May 20 13:00:38.340	2033721867  
Thu May 20 13:00:38.406	225789828   	Thu May 20 13:00:38.406	2033721867  
Thu May 20 13:00:38.473	225789828   	Thu May 20 13:00:38.473	2033721867  
Thu May 20 13:00:38.540	225789828   	Thu May 20 13:00:38.540	2033721867  
Thu May 20 13:00:38.607	225789828   	Thu May 20 13:00:38.607	2033721867  
Thu May 20 13:00:38.673	225789828   	Thu May 20 13:00:38.673	2033721867  
Thu May 20 13:00:38.740	225789828   	Thu May 20 13:00:38.740	2033721867  
Thu May 20 13:00:38.807	225789828   	Thu May 20 13:00:38.807	2033721867  
Thu May 20 13:00:38.873	225789828   	Thu May 20 13:00:38.873	2033721867  
